Company,Year,Total Revenue,Net Income,Total Assets,Total Liabilities,Cash Flow from Operating Activities,Revenue Growth (%),Net Income Growth (%),Assets Growth (%),Liabilities Growth (%),Cash Flow Growth (%),Equity,Equity Growth (%),Equity to Asset Ratio,CFO to Net Income ratio
Microsoft,2020,143015.0,44281.0,,,60675,,,,,,,,,1.370226507983108
Microsoft,2021,168088.0,61271.0,333779.0,191791.0,76740,17.5317274411775,38.36860052844335,,,26.477132262051907,141988.0,,0.4253952465553555,1.2524685413980512
Microsoft,2022,198270.0,72738.0,364840.0,198298.0,89035,17.956070629670172,18.71521600757291,9.305858067763406,3.3927556558962513,16.021631482929365,166542.0,17.29301067695861,0.4564795526806271,1.224050702521378
Microsoft,2023,211915.0,72361.0,411976.0,205753.0,87582,6.8820295556564215,-0.5182985509637361,12.919636004824042,3.759493287879856,-1.6319424945246297,206223.0,23.826422163778503,0.500570421577956,1.2103481156976825
Microsoft,2024,245122.0,88136.0,512163.0,243686.0,118548,15.66996201307127,21.800417351888445,24.318649630075527,18.43618319052456,35.356580119202576,268477.0,30.18770942135456,0.524202255922431,1.345057638195516
Tesla,2019,,,,,2405,,,,,,,,,
Tesla,2020,31540.0,721.0,52148.0,28418.0,5943,,,,,147.1101871101871,23730.0,,0.45505100866763826,8.242718446601941
Tesla,2021,53820.0,5519.0,62131.0,30548.0,11497,70.64045656309447,665.4646324549237,19.143591317020793,7.495249489760014,93.4544842672051,31583.0,33.09313105773284,0.5083291754518678,2.083167240442109
Tesla,2022,81460.0,12556.0,82338.0,36440.0,14724,51.356373095503535,127.50498278673672,32.52321707360255,19.28767840775174,28.068191702183178,45898.0,45.32501662286674,0.557433991595618,1.172666454284804
Tesla,2023,96770.0,14997.0,106618.0,43009.0,13256,18.7945003682789,19.44090474673463,29.488207146153655,18.026893523600428,-9.970116816082585,63609.0,38.587738027800775,0.5966065767506424,0.8839101153564046
Apple,2020,274515.0,57411.0,,,80674,,,,,,,,,1.405201093867029
Apple,2021,365817.0,94680.0,351002.0,287912.0,104038,33.259384733074704,64.9161310550243,,,28.961003545132268,63090.0,,0.17974256556942694,1.0988381918039714
Apple,2022,394328.0,99803.0,352755.0,302083.0,122151,7.79378760418461,5.410857625686516,0.4994273536902849,4.9219900525160565,17.40998481324132,50672.0,-19.68299255032493,0.1436464401638531,1.2239211246154926
Apple,2023,383285.0,96995.0,352583.0,290437.0,110543,-2.800460530319937,-2.813542679077785,-0.04875905373418199,-3.855231840255824,-9.502992198180937,62146.0,22.643669087464467,0.17625920705195655,1.1396773029537606
Apple,2024,391035.0,93736.0,364980.0,308030.0,118254,2.021994077514111,-3.3599670086086886,3.516051539637477,6.057423813081675,6.9755660693124,56950.0,-8.360956457374568,0.15603594717518768,1.2615643936161134
